Autor_in	Lebensdaten
Eichrodt, Ludwig	(1827–1892)
Jensen, Wilhelm	(1837–1911)
Stramm, August	(1874–1915)
Knigge, Adolph, Freiherr	(1752–1796)
Alberti, Konrad	(1862–1918)
Klopstock, Friedrich Gottlieb	(1724–1803)
Frölich, Henriette	(1768–1833)
Buck, Michael Richard	(1832–1888)
Paalzow, Henriette	(1788–1849)
Stieler, Kaspar von	(1632–1707)
Ruf, Jacob	(1500–1558)
Werner, Friedrich Ludwig Zacharias	(1768–1823)
Cronegk, Johann Friedrich von	(1731–1758)
Halm, Friedrich	(1806–1871)
Colshorn, Theodor	(1821–1896) (1812–1855)
Brawe, Joachim Wilhelm von	(1738–1758)
Wilbrandt, Adolf von	(1837–1911)
Bucholtz, Andreas Heinrich	(1607–1671)
Götz, Johann Nikolaus	(1721–1781)
Defoe, Daniel	(1660–1731)
Kurz, Hermann	(bis 1848 Kurtz) (1813–1873)
Riese, Friedrich Wilhelm	(1805–1879)
Mosenthal, Salomon Hermann von	(1821–1877)
Bote, Hermann	(vor 1467–1520)
Meyrink, Gustav	(1868–1932)
Rist, Johann	(1607–1667)
Wolfram, von Eschenbach	(1170–1220)
Lohenstein, Daniel Casper von	(1635–1683)
Kerner, Justinus	(1786–1862)
Pfeffel, Gottlieb Konrad	(1736–1809)
Brockes, Barthold Heinrich	(1680–1747)
Schlegel, Johann Elias	(1719–1749)
George, Stefan	(1868–1933)
Aston, Louise	(1814–1871)
Weiße, Christian Felix	(1726–1804)
Mühlpfort, Heinrich	(1639–1681)
Wildenbruch, Ernst von	(1845–1909)
Richter, Jean Paul Friedrich	(1763–1825)
Gutzkow, Karl	(1811–1878)
Müllenhoff, Karl	(1818–1884)
Auerbach, Berthold	(1812–1882)
Gryphius, Andreas	(1616–1664)
Hippel, Theodor Gottlieb von	(1741–1796)
Gotthelf, Jeremias	(1797–1854)
Merck, Johann Heinrich	(1741–1791)
Brontë, Charlotte	(1816–1855)
Chézy, Helmina von	(1783–1856)
Spielhagen, Friedrich	(1829–1911)
François, Louise von	(1817–1893)
Čechov, Anton Pavlovič	(1860–1904)
Drollinger, Carl Friedrich	(1688–1742)
Miller, Johann Martin	(1750–1814)
Wickram, Jörg	(um 1505 – vor 1562)
Pfitzer, Johann Nicolaus	(1634–1674?)
Brant, Sebastian	(1457–1521)
Lingg, Hermann	(1820–1905)
Grabbe, Christian Dietrich	(1801–1836)
ʿUmar Ḫaiyām	(1048–1131)
Proelß, Johannes	(1853–1911)
Hollonius, Ludwig	(um 1570–1621)
Ayrer, Jakob	(1544–1605)
Lewald, Fanny	(1811–1889)
Sturz, Helfrich Peter	(1736–1779)
Wille, Bruno	(1860–1928)
Conradi, Hermann	(1862–1890)
Spiegel, Karl	(1863–1920)
Beer, Johann	(1655–1700)
Sommer, Elise	(1767–?)
Ganghofer, Ludwig	(1855–1920)
Whitman, Walt	(1819–1892)
Loen, Johann Michael von	(1694–1776)
Wolf, Johann Wilhelm	(1817–1855)
Poe, Edgar Allan	(1809–1849)
Kobell, Franz von	(1803–1882)
Lermontov, Michail Jurʹevič	(1814–1842)
La Roche, Sophie von	(1730–1807)
Avenarius, Ferdinand	(1856–1923)
Guillaume, de Lorris	(1200–1238)
Kuhlmann, Quirinus	(1651–1689)
Arnim, Achim von	(1781–1831)
Matthisson, Friedrich von	(1761–1831)
Le Sage, Alain René	(1668–1747)
Börne, Ludwig	(1786–1837)
Andreä, Johann Valentin	(1586–1654)
Vischer, Friedrich Theodor von	(1807–1887)
Dickens, Charles	(1812–1870)
Dach, Simon	(1605–1659)
Rilke, Rainer Maria	(1875–1926)
Hesekiel, George	(1819–1874)
Moser, Gustav von	(1825–1903)
Abschatz, Hans Assmann von	(1646–1699)
Reventlow, Franziska zu	(1871–1918)
Seume, Johann Gottfried	(1763–1810)
Roeber, Friedrich	(1819–1901)
Beaumarchais, Pierre Augustin Caron de	(1732–1799)
Hahn-Hahn, Ida, Gräfin	(1805–1880)
Aretino, Pietro	(1492–1556)
Herwegh, Georg	(1817–1875)
Brachvogel, Albert Emil	(1824–1878)
Wolfram, Hermann Ludwig	(1781–1831)
Bjørnson, Bjørnstjerne	(1832–1910)
Flaischlen, Cäsar	(1864–1920)
